Log file produced by: Storyboard Pro (StoryboardPro.exe) version 24.0.1 build 23015 2024-07-17 12:04:32
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00001-1.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00001-1.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00001-2.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00001-2.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00001-3.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00001-3.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00001-4.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00001-4.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00001-5.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00001-5.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00002-1.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00002-1.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00003-1.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00003-1.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00003-2.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00003-2.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00003-3.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00003-3.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00003-4.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00003-4.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00003-5.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00003-5.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00004-1.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00004-1.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00005-1.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00005-1.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00005-2.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00005-2.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00006-1.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-00006-1.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-005_A-1.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-005_A-1.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-004_A-1.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-004_A-1.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-004_A-2.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-004_A-2.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-004_B-1.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-004_B-1.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-004_C-1.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-004_C-1.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-4_A_1-1.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-4_A_1-1.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-4_A_1-2.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-4_A_1-2.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-4_A_1-3.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-4_A_1-3.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-1.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-1.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-2.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-2.jpg; OK 
﻿2024-11-26 11:38:05;Create;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-3.jpg; OK 
﻿2024-11-26 11:38:05;Delete;C:/Users/sethv/Documents/GitHub/LUCA-2/Vakken/Crossmedia/Storyboarding/Les 3/Render/Draft Les3 Thumbnails-5_A_1-3.jpg; OK 
